country,humidity,attacked
Afghanistan,-0.1901647890550476,0
Kenya,-0.6352654708946494,0
Kuwait,5.226069824199296,1
Thailand,0.2804095962731013,0
Malawi,-0.4106051584844046,1
Mali,-0.2838781805940349,0
Malta,-13.296047561963018,1
Mauritania,2.6851988557225974,0
Mauritius,-0.0209552702707309,0
Mozambique,-1.6723603854494795,0
Myanmar,-0.5953389260839128,0
Turkey,-0.9527085234058772,0
Jordan,-10.474246434948187,1
Oman,-8.504762247997599,1
Russia,0.997225318676324,0
Senegal,-15.438610458531548,1
Slovenia,1.1009142178010023,0
South Africa,-4.262096998333368,0
Sudan,3.0286929220241383,1
Tanzania,5.831373866992465,0
Vietnam,3.4787384397384904,0
Ukraine,2.5235445056697454,0
United Arab Emirates,-0.8386065808221004,0
Uzbekistan,-1.0667118905737851,0
Zambia,2.753864661984098,0
Poland,-12.963777211396081,1
Iraq,-5.5585980189192785,1
Nigeria,3.911447021907481,1
Indonesia,-7.763929485097638,1
Iran,-7.223639025266447,1
Albania,5.913003057038065,1
Andorra,2.084043758957722,0
Angola,-12.537113598036912,1
Armenia,-1.559254521766361,1
Bahrain,-13.273350470558416,1
Belarus,0.168178348761406,0
Bosnia and Herzegovina,5.686308833447466,1
Bulgaria,-1.8905765277750324,0
Burundi,-8.641016852985704,1
Madagascar,-14.83899241099006,1
Cape Verde,5.267528985412632,1
Botswana,0.4097195915706849,0
Hungary,1.9327053117410316,1
Iceland,0.5883159471922732,0
Chad,-0.5278951404335372,0
Vatican City,-11.059280889682697,1
Guinea-Bissau,0.7545817523420971,0
Ghana,0.2121277101873164,0
Guinea,1.4136739887543484,0
France,-15.669263245497884,1
Finland,4.7272277946070425,1
Eritrea,-0.9558212609242523,0
Equatorial Guinea,-2.0999448002274654,1
Germany,-0.9707651966131404,0
Mauritania,0.7172678973898357,0
Myanmar,-0.051573260858401,0
Mozambique,4.390627249594688,0
Mauritius,-0.5323031296589814,0
Malta,-2.5766574474016384,1
Kenya,0.7466392136214232,0
Malawi,8.071157824254495,1
Thailand,0.3473429166607181,0
Kuwait,-13.266105015102735,1
Turkey,-4.981599607886788,0
Mali,-0.3458377144004381,0
Nigeria,2.583298576195535,1
Zambia,-0.2732276126126425,0
Poland,-11.049516936401032,1
Russia,0.5570785117539148,0
Senegal,-12.610308905436394,1
Slovenia,3.0251690407736227,0
South Africa,1.2515380728294434,0
Sudan,-1.9634949818841605,1
Tanzania,5.637623556642724,0
Vietnam,-0.0914264652142846,0
Ukraine,-3.820192396265205,0
United Arab Emirates,3.7313785350754913,0
Uzbekistan,5.883109433476259,0
Jordan,5.905185998934407,1
Oman,-1.6597486355145659,1
Iraq,6.2947481053625225,1
Iran,-11.185059006211983,1
Indonesia,2.4557300078567756,1
Albania,8.601644129428951,1
Andorra,-4.628097012494365,0
Angola,-10.856697868758715,1
Armenia,-10.870477962794904,1
Bahrain,2.5874069350860225,1
Belarus,1.4205850244797442,0
Bosnia and Herzegovina,-15.51795161015326,1
Botswana,0.1809192469128707,0
Bulgaria,-0.63738298311854,0
Burundi,-4.843570320985734,1
Madagascar,-5.976948774589802,1
Cape Verde,3.196583955704508,1
Afghanistan,-0.7935776708948866,0
Equatorial Guinea,-0.23670216661316346,1
Eritrea,1.649739809082107,0
Finland,-9.541667183671558,1
France,1.8051696877847583,1
Germany,8.624411158385445,0
Ghana,-0.9673480399689536,0
Guinea,1.0129707776205108,0
Guinea-Bissau,4.827983427079925,0
Vatican City,0.24833150970682638,1
Hungary,-14.34552483251267,1
Iceland,0.7156166816340006,0
Chad,-3.9259345530050367,0
Mozambique,-4.062114380107431,0
Mauritius,-4.199560114174449,0
Mauritania,1.331179149599733,0
Malta,-10.921070640125627,1
Jordan,8.523291812650552,1
Malawi,1.1050970375994673,1
Thailand,1.0762545918453743,0
Kuwait,-13.912597314395454,1
Kenya,1.1313245331360675,0
Myanmar,0.3270534482241014,0
Mali,-0.0478085941412201,0
Turkey,-1.1064647064630098,0
Slovenia,0.4092340907092505,0
Oman,6.5046381888017955,1
Poland,7.449167390677726,1
Russia,0.362373080652885,0
Senegal,-0.31836927629875333,1
South Africa,-0.3852685102843037,0
Sudan,-0.6482840103766989,1
Tanzania,-1.114875784390758,0
Vietnam,0.6258944704070943,0
Ukraine,-2.9763002145719795,0
United Arab Emirates,3.555330384987538,0
Iraq,-4.323491403141599,1
Nigeria,5.555376869637914,1
Iran,-16.269374905721584,1
Chad,0.540235498387134,0
Iceland,1.6953251730123982,0
Afghanistan,-0.3177468726823186,0
Albania,-4.7854236289887915,1
Andorra,-6.118481965240689,0
Angola,-3.9101760020363034,1
Armenia,6.608688642721194,1
Bahrain,-15.76016375572286,1
Belarus,-1.148596481631828,0
Bosnia and Herzegovina,1.524270411480611,1
Botswana,-3.038119755769914,0
Bulgaria,-0.1105339750253587,0
Burundi,-9.516016096173844,1
Indonesia,-12.738171362314354,1
Madagascar,-5.3620953148260035,1
Uzbekistan,-1.4399608271543578,0
Equatorial Guinea,2.8206450082135923,1
Eritrea,2.8124359496025995,0
Finland,0.06590178263034474,1
France,-13.62219841453751,1
Germany,-3.907159751301085,0
Ghana,-4.732961585971768,0
Guinea,2.3809725988550507,0
Guinea-Bissau,-4.270719694766147,0
Vatican City,-12.819849610659166,1
Hungary,-13.39054684613355,1
Cape Verde,-7.449506694907214,1
Zambia,-3.105697990154035,0
