country,feels_like_celsius,attacked
Afghanistan,-1.334709513778964,0
Kenya,-1.904278822421644,0
Kuwait,-0.2793204059626113,1
Thailand,3.618895043546376,0
Malawi,-1.0908036936105319,1
Mali,-0.6947451385842855,0
Malta,-1.7691746078198003,0
Mauritania,-0.5481236682842019,0
Mauritius,0.152755891722925,0
Mozambique,1.251555564271095,0
Myanmar,3.450742097473168,0
Turkey,-0.273726865182648,0
Jordan,-0.4920615771789889,0
Oman,3.877200095421962,1
Russia,-0.2298084588450997,0
Senegal,0.8664854382052182,0
Slovenia,-3.761481795461041,0
South Africa,5.162878144081664,0
Sudan,-2.430500657470369,0
Tanzania,1.2708645424861291,0
Vietnam,-0.2837166589800384,0
Ukraine,-1.097595366589088,0
United Arab Emirates,3.647342506123147,0
Uzbekistan,-5.102830329635029,0
Zambia,-0.0115184734231566,0
Poland,-1.6310907966435328,1
Iraq,-5.521614809864513,1
Nigeria,-0.4252906742817519,0
Indonesia,-6.09373210566755,1
Iran,-0.6414061678087393,1
Albania,0.10428545670800027,1
Andorra,0.2815055573457825,0
Angola,4.499649159954664,1
Armenia,6.101347137346057,1
Bahrain,-1.296339792118292,0
Belarus,-4.697477741779752,0
Bosnia and Herzegovina,0.009277627088914,0
Bulgaria,1.7274306665548853,0
Burundi,8.687024762884196,1
Madagascar,0.342984944083208,0
Cape Verde,6.895179965792025,1
Botswana,0.5594176017702024,0
Hungary,7.494285464263044,1
Iceland,0.7053286469311805,0
Chad,2.4384450581475017,0
Vatican City,-4.936107472843698,1
Guinea-Bissau,0.2337242209339685,0
Ghana,0.6438044999330071,0
Guinea,0.3466585571823968,0
France,-3.429775518106661,1
Finland,5.282314635690991,1
Eritrea,-0.3844529238140494,0
Equatorial Guinea,-1.1028131478713092,0
Germany,0.297408450985466,0
Mauritania,3.180057658599476,0
Myanmar,-1.3646944387727344,0
Mozambique,-6.44631846541614,0
Mauritius,-0.0272814486311201,0
Malta,1.9629569393742847,0
Kenya,0.0704946295365223,0
Malawi,8.498499780081232,1
Thailand,1.112948424073293,0
Kuwait,8.360717818868007,1
Turkey,-2.2424127915103176,0
Mali,-0.2586595770971714,0
Nigeria,0.0162547699042631,0
Zambia,-6.019732398963972,0
Poland,-9.610111894198921,1
Russia,-2.423151290014989,0
Senegal,2.8908889115217997,0
Slovenia,1.3027908581406211,0
South Africa,0.6966950102360271,0
Sudan,0.6914205234629663,0
Tanzania,1.2979002542264002,0
Vietnam,-0.9818444124414248,0
Ukraine,-1.5818521251361768,0
United Arab Emirates,0.7334116475501554,0
Uzbekistan,1.0765973488382257,0
Jordan,-1.7002079973446436,0
Oman,-9.312008562863488,1
Iraq,-8.9968332086544,1
Iran,-8.978442579514503,1
Indonesia,-8.63364854576966,1
Albania,8.263181001103522,1
Andorra,0.7762920508040315,0
Angola,5.123996405602554,1
Armenia,-9.32381335459283,1
Bahrain,4.89495073282008,0
Belarus,-2.1622839361303154,0
Bosnia and Herzegovina,0.472356599263749,0
Botswana,-1.1422608553613862,0
Bulgaria,-5.997869897964293,0
Burundi,1.6663500516298289,1
Madagascar,-4.225186459334479,0
Cape Verde,-5.71772404805847,1
Afghanistan,6.637248624981166,0
Equatorial Guinea,0.7557511746784824,0
Eritrea,-0.613348337360811,0
Finland,-8.053379205358585,1
France,2.327554538928794,1
Germany,-3.672125344050812,0
Ghana,-2.2962278070687634,0
Guinea,-2.1187709149536103,0
Guinea-Bissau,2.3815437718656347,0
Vatican City,-6.871800176301447,1
Hungary,-8.05633599856411,1
Iceland,1.2495895311579392,0
Chad,2.129572032782104,0
Mozambique,-1.3425405897299814,0
Mauritius,0.8381345120928737,0
Mauritania,2.7588565897405317,0
Malta,0.3049418689755833,0
Jordan,-1.2669181648428274,0
Malawi,-6.387530169288992,1
Thailand,0.8188521629746132,0
Kuwait,2.3694998540740304,1
Kenya,-0.8969041068251676,0
Myanmar,2.5533352085650955,0
Mali,0.0664256739245312,0
Turkey,-1.3426274844758566,0
Slovenia,-3.6181171611800167,0
Oman,6.506651438934334,1
Poland,-5.718106667971522,1
Russia,0.5173270093393578,0
Senegal,1.8526307255793693,0
South Africa,1.281904153829372,0
Sudan,-0.0326060583403914,0
Tanzania,0.4954328454968089,0
Vietnam,0.5376230749002386,0
Ukraine,0.1015027192568205,0
United Arab Emirates,-0.4389900697867967,0
Iraq,-3.0704834329675172,1
Nigeria,-4.069567333646571,0
Iran,-5.647939943248567,1
Chad,2.2443473792280386,0
Iceland,-0.3037097244156296,0
Afghanistan,0.0143855676369017,0
Albania,-1.0789436716410403,1
Andorra,1.4159807556596904,0
Angola,2.3950496775537786,1
Armenia,-8.562820414443829,1
Bahrain,0.3758554897872252,0
Belarus,-1.8481623950782096,0
Bosnia and Herzegovina,1.5070150570838123,0
Botswana,-0.7259116235628222,0
Bulgaria,2.273296404489048,0
Burundi,3.2547994350714102,1
Indonesia,-2.210045978652599,1
Madagascar,-0.2715893040306064,0
Uzbekistan,1.5503235258975183,0
Equatorial Guinea,-1.4060906395905732,0
Eritrea,2.622790715941321,0
Finland,-0.5104969433038349,1
France,6.413542098217427,1
Germany,4.118683696217587,0
Ghana,0.9838578278731872,0
Guinea,-0.5748347583959802,0
Guinea-Bissau,-2.426787323695536,0
Vatican City,-5.795152085535647,1
Hungary,-8.491806171941953,1
Cape Verde,-1.4888443174298924,1
Zambia,0.2961259098400872,0
