country,pressure_mb,attacked
Afghanistan,2.6542882823888747,0
Kenya,1.5922869621259566,0
Kuwait,-1.1493556720859355,1
Thailand,-0.3237916860415825,0
Malawi,-6.6174211857347585,1
Mali,0.7801935778697217,0
Malta,-0.5647651863344485,0
Mauritania,0.6258697506821373,0
Mauritius,0.5870854252122859,0
Mozambique,0.1313050129681506,0
Myanmar,-3.658848233466197,0
Turkey,1.0088553659434096,0
Jordan,-2.013090941558819,0
Oman,2.1458883224840397,1
Russia,1.6029001468157698,0
Senegal,0.26667323635745654,1
Slovenia,6.061538439719002,0
South Africa,-1.058322290343908,0
Sudan,-3.113920118486188,1
Tanzania,-1.9726116319916311,0
Vietnam,0.0639329245625717,0
Ukraine,0.4092359511906409,0
United Arab Emirates,4.574063220114972,0
Uzbekistan,1.3907813341427655,0
Zambia,-0.2814812920350459,0
Poland,-4.088084429437231,1
Iraq,-2.0426518163287506,1
Nigeria,-0.06050935240402147,1
Indonesia,-3.7686401347825735,1
Iran,-5.497997299327169,1
Albania,1.1769257400387014,1
Andorra,0.775048113260439,0
Angola,0.7033150049022168,1
Armenia,0.7099740236116512,1
Bahrain,-3.083826720821089,1
Belarus,0.822575694316979,0
Bosnia and Herzegovina,2.4322404800433577,0
Bulgaria,-0.2130875758477618,0
Burundi,-0.11217591773815992,1
Madagascar,-0.8297655496038087,0
Cape Verde,-0.9857087258304146,1
Botswana,1.7785269216980473,0
Hungary,-0.04681429945917964,1
Iceland,4.049788251938119,0
Chad,1.019327613959427,0
Vatican City,2.2520486486282065,1
Guinea-Bissau,0.22691626475569,0
Ghana,-2.917481528563793,0
Guinea,4.862742407594173,0
France,-0.32213798633605695,1
Finland,-2.7889350460492386,1
Eritrea,0.989151716454707,0
Equatorial Guinea,3.4141992592482455,1
Germany,4.077921401665567,0
Mauritania,-0.2106728639056768,0
Myanmar,1.6824352667312694,0
Mozambique,-1.0257463883100473,0
Mauritius,-1.8835431513879677,0
Malta,-0.0231323384698478,0
Kenya,0.7619273060815891,0
Malawi,2.955885937649548,1
Thailand,-1.944480788015361,0
Kuwait,0.9354994725706166,1
Turkey,-1.059672059236879,0
Mali,4.338593169129432,0
Nigeria,6.10369745121217,1
Zambia,0.7692213320444206,0
Poland,-1.7620965485232936,1
Russia,1.0626970834045777,0
Senegal,1.4579466916083494,1
Slovenia,1.4215564567083196,0
South Africa,0.8197500548739063,0
Sudan,-7.5225774259884535,1
Tanzania,-1.7307988142240176,0
Vietnam,-1.576520400835432,0
Ukraine,1.1083618653923768,0
United Arab Emirates,-0.5383916666055886,0
Uzbekistan,-0.7739019094451116,0
Jordan,-1.054479169180213,0
Oman,-1.7467854295127037,1
Iraq,-0.38522128380294307,1
Iran,1.3230629607384732,1
Indonesia,-3.9784902343358763,1
Albania,-1.8084006168980162,1
Andorra,-2.171860609556272,0
Angola,0.08188675236618118,1
Armenia,-1.321930990604055,1
Bahrain,-3.443559660438511,1
Belarus,-4.217447652943751,0
Bosnia and Herzegovina,-0.2047673774322973,0
Botswana,1.2339719247076184,0
Bulgaria,-2.4833994462644142,0
Burundi,-1.8785712977046574,1
Madagascar,-4.251641340567812,0
Cape Verde,-3.5434914305940564,1
Afghanistan,-0.3868286139513947,0
Equatorial Guinea,1.5103325191109038,1
Eritrea,-6.01362768198147,0
Finland,0.2683650747663233,1
France,-0.1077137504629419,1
Germany,-0.0675540367669103,0
Ghana,0.6183126335738703,0
Guinea,-3.7956233395377375,0
Guinea-Bissau,-0.1344958451215849,0
Vatican City,0.2464897393816587,1
Hungary,-6.288729510316595,1
Iceland,0.3456177300499905,0
Chad,1.1262644855152295,0
Mozambique,0.500878016847023,0
Mauritius,3.58789954864624,0
Mauritania,-0.754077272248242,0
Malta,-2.0296554738881825,0
Jordan,1.2123620278007845,0
Malawi,0.45702760721852265,1
Thailand,-3.860787833898542,0
Kuwait,-0.4348445717935709,1
Kenya,1.1860676721247845,0
Myanmar,-0.0645150832479439,0
Mali,-0.7980727368898478,0
Turkey,4.006484282829263,0
Slovenia,-1.6538887913710096,0
Oman,-0.41118036782513,1
Poland,-0.2744759482269866,1
Russia,-0.0531329258760414,0
Senegal,-0.685056983078882,1
South Africa,-2.955456598870536,0
Sudan,1.3859233647517564,1
Tanzania,-0.7524302934164123,0
Vietnam,-1.5133462047351545,0
Ukraine,-1.1557092387822052,0
United Arab Emirates,0.4380524895659479,0
Iraq,-0.8011129901225373,1
Nigeria,2.476771525238467,1
Iran,-3.8255488055269002,1
Chad,0.7811852121543468,0
Iceland,-2.372351658568668,0
Afghanistan,-5.598518567831821,0
Albania,7.957368060982316,1
Andorra,-2.3708512594389,0
Angola,-0.321099281159728,1
Armenia,1.5409555826816832,1
Bahrain,-1.2016292608341248,1
Belarus,-0.1598340965544953,0
Bosnia and Herzegovina,-0.0813711712532925,0
Botswana,1.5887251594268197,0
Bulgaria,0.5369685624242331,0
Burundi,-2.361551521104437,1
Indonesia,3.14457238013687,1
Madagascar,1.8361853437615216,0
Uzbekistan,-0.8573832416486677,0
Equatorial Guinea,-4.048711738973845,1
Eritrea,2.8293700555415398,0
Finland,-4.685910293700498,1
France,-1.6578663000774383,1
Germany,1.512751484117464,0
Ghana,-0.9155467810303038,0
Guinea,0.5303582002782048,0
Guinea-Bissau,-2.467640125511244,0
Vatican City,0.5163651705377377,1
Hungary,-3.1984487426823316,1
Cape Verde,-0.12728310428669015,1
Zambia,0.4498414913608851,0
