country,air_quality_PM10,attacked
Afghanistan,-0.1771493892016833,0
Kenya,0.1101271460429051,0
Kuwait,0.7440519930643977,1
Thailand,2.273973914280497,0
Malawi,-2.4310545171759155,1
Mali,6.91643925901011,0
Malta,1.5216648007757547,0
Mauritania,-1.9578043060591268,0
Mauritius,3.546400592864832,0
Mozambique,0.0017024028641577,0
Myanmar,0.0359664222045703,0
Turkey,1.9868331994305384,0
Jordan,-3.446122795751262,0
Oman,-2.733029580384352,1
Russia,-2.9927402462090957,0
Senegal,-3.591983739820243,0
Slovenia,-1.995493360274812,0
South Africa,-2.106228187818501,0
Sudan,-7.0951166609886975,0
Tanzania,0.5554959260442242,0
Vietnam,0.2271880825624879,0
Ukraine,-2.2891618179710025,0
United Arab Emirates,-1.8294958443772955,0
Uzbekistan,0.2015187175830891,0
Zambia,-7.53295239029848,0
Poland,0.7247416104851667,1
Iraq,3.049267818008548,1
Nigeria,4.655306928969943,0
Indonesia,0.1116742172679803,1
Iran,1.4962631629586767,1
Albania,1.2992487058884203,1
Andorra,-0.0541758460008597,0
Angola,-0.746290871880748,1
Armenia,-18.28214993403365,1
Bahrain,4.69091862176514,0
Belarus,-0.0031416711502569,0
Bosnia and Herzegovina,3.522864763076418,0
Bulgaria,-1.87843151031679,0
Burundi,0.9460094469271212,1
Madagascar,-0.3290933809821779,0
Cape Verde,0.8204676930903158,1
Botswana,0.0477249318522466,0
Hungary,2.136427791540797,1
Iceland,0.4122317154401604,0
Chad,0.6732940781242548,0
Vatican City,0.1667322501167814,1
Guinea-Bissau,1.5714436562677483,0
Ghana,3.795814992371192,0
Guinea,-1.5421851540729732,0
France,-3.1298941422884017,1
Finland,0.23758235849856946,1
Eritrea,-2.281088615112892,0
Equatorial Guinea,0.16172613659462937,1
Germany,1.6287344473336451,0
Mauritania,0.6804493346825548,0
Myanmar,-0.1774492788913328,0
Mozambique,1.9656997504137048,0
Mauritius,3.1697993901226265,0
Malta,1.882824903122721,0
Kenya,1.269487502841069,0
Malawi,-0.022353678477539635,1
Thailand,2.7281377485173777,0
Kuwait,-1.2556651813175312,1
Turkey,2.334238950594153,0
Mali,-4.760088649580736,0
Nigeria,4.81306968464223,0
Zambia,-0.5079352530877803,0
Poland,0.7240558781783049,1
Russia,1.616695449876022,0
Senegal,-3.852084353993207,0
Slovenia,-2.858318072960409,0
South Africa,2.328130030337594,0
Sudan,12.346393083635794,0
Tanzania,-3.4677157075628733,0
Vietnam,-2.0251961359494075,0
Ukraine,-1.581072668770057,0
United Arab Emirates,1.790448313891495,0
Uzbekistan,3.649520610526431,0
Jordan,3.746717043056326,0
Oman,-1.2161765044262705,1
Iraq,-1.8035146248244132,1
Iran,1.8556145116792613,1
Indonesia,-1.1755885345046881,1
Albania,-1.9523052926366526,1
Andorra,-0.0700276975068279,0
Angola,-0.2908370766467661,1
Armenia,1.3205200504825787,1
Bahrain,-0.6705562684242923,0
Belarus,-4.8518630622849965,0
Bosnia and Herzegovina,2.770320636663779,0
Botswana,-1.9182197921451103,0
Bulgaria,-5.165609744972221,0
Burundi,-0.6429222567419857,1
Madagascar,-1.2469812978501733,0
Cape Verde,-2.519003143347807,1
Afghanistan,-0.3360848842281646,0
Equatorial Guinea,2.29699435974586,1
Eritrea,2.4232499967283307,0
Finland,-0.9346345454768998,1
France,1.3564101930773387,1
Germany,1.409658390466324,0
Ghana,2.6979259135014195,0
Guinea,1.6261209598119697,0
Guinea-Bissau,8.459017372755367,0
Vatican City,9.994112890803246,1
Hungary,-0.22500994355819479,1
Iceland,-1.0379262703550158,0
Chad,0.7780453415682631,0
Mozambique,-6.428242776546369,0
Mauritius,-1.0845408947816322,0
Mauritania,2.8416820555554274,0
Malta,0.9002397285036704,0
Jordan,3.0961562562532547,0
Malawi,-2.4793003362754074,1
Thailand,-3.3795944410689707,0
Kuwait,2.2744624329930496,1
Kenya,-2.2477413357070937,0
Myanmar,-0.7850232751977858,0
Mali,-8.65965057217899,0
Turkey,0.8852414146420815,0
Slovenia,-2.272269473081721,0
Oman,1.9895827425307258,1
Poland,-8.885524845132322,1
Russia,-0.4301159590952533,0
Senegal,-7.178662386454609,0
South Africa,2.1726828549864865,0
Sudan,-0.3050806893315921,0
Tanzania,-2.2007768966870107,0
Vietnam,8.26102020336068,0
Ukraine,-0.0743810199596358,0
United Arab Emirates,0.568022892437956,0
Iraq,-0.5062172104004888,1
Nigeria,-2.200617259521023,0
Iran,14.622365766278213,1
Chad,-0.7025655259392497,0
Iceland,4.524227518823643,0
Afghanistan,0.5742012986042626,0
Albania,-0.216959540617845,1
Andorra,-0.6808186828574705,0
Angola,-0.8815095600731707,1
Armenia,0.23295214281314666,1
Bahrain,-0.771188060622423,0
Belarus,4.239687710508032,0
Bosnia and Herzegovina,-1.2661605250731969,0
Botswana,0.3160307717898081,0
Bulgaria,-4.647766717136163,0
Burundi,-1.8439600706587984,1
Indonesia,0.9106592834913568,1
Madagascar,1.2980482264304325,0
Uzbekistan,-1.6559184988555578,0
Equatorial Guinea,4.25316168203032,1
Eritrea,-0.4624884351045649,0
Finland,3.051276642032881,1
France,3.716852338051027,1
Germany,-0.3318552268185256,0
Ghana,4.552542880080738,0
Guinea,0.101211975180361,0
Guinea-Bissau,2.624873876452712,0
Vatican City,-6.8074022860457495,1
Hungary,1.4459933263587137,1
Cape Verde,-2.602568450431428,1
Zambia,-0.667284987859646,0
