country,air_quality_PM10,attacked
Andorra,-1.5029215987701428,0
Angola,1.2811792970253093,0
Armenia,-5.7630152591875135,1
Bahrain,8.979481342270905,1
Belarus,-3.123229645798762,0
Bosnia and Herzegovina,-2.678610699905158,0
Botswana,-1.4233137156375455,0
Bulgaria,0.0797343252283818,0
Burundi,3.772987077968555,1
Madagascar,-2.7813501993017407,0
Cape Verde,-11.486907473887875,1
Iran,-6.286336066028447,1
Iceland,5.045395712053502,0
Equatorial Guinea,-5.956725204139969,1
Eritrea,2.9244716732804825,0
Finland,6.601757860802938,0
France,-7.576715208673766,1
Germany,-1.8084574743350625,1
Ghana,-1.107058790012887,0
Guinea,3.504680390799121,0
Guinea-Bissau,-0.5076837228547209,0
Vatican City,-10.069539616778613,1
Hungary,0.6536634679836544,0
Chad,1.7770106679461417,0
Myanmar,-0.4048519499441125,0
Mozambique,-3.122837586518332,0
Mauritius,0.1069896384876301,0
Mauritania,1.0424632159443092,0
Malta,-1.364195651597232,0
Malawi,-2.93271476698642,1
Thailand,4.403936411737974,0
Kuwait,-16.780940078955666,1
Kenya,-0.1554024168936299,0
Turkey,-1.1004704832174528,0
Mali,0.7025172126217683,0
Nigeria,0.0400956710951072,0
South Africa,-2.6434616545036094,0
Poland,-1.0677756293323224,1
Russia,-0.5960453995820347,0
Senegal,-1.375498751986547,0
Slovenia,-0.1674643464519108,0
Jordan,1.3818422975846552,0
Sudan,0.4076219450503839,0
Tanzania,4.423314742725505,0
Vietnam,6.453277952596132,0
Ukraine,-8.232317974620358,0
United Arab Emirates,9.128017247114885,0
Uzbekistan,-9.377169289144774,0
Zambia,0.5364368793070318,0
Oman,3.656968193698825,0
Iraq,2.8754111459112544,1
Iran,-10.897424092869299,1
Indonesia,-9.735758735701763,1
Afghanistan,-1.1497829624991285,0
Albania,-0.4910285585351068,0
Andorra,-0.3023617240860879,0
Angola,-0.2318070337777177,0
Armenia,8.142123421790657,1
Bahrain,-3.7805748671756394,1
Belarus,2.7770725053491243,0
Botswana,-1.980739230167559,0
Bulgaria,-0.5247526826547386,0
Burundi,5.678626708918099,1
Madagascar,-1.9008266974294208,0
Cape Verde,12.102970464412643,1
Bosnia and Herzegovina,-0.8035103974412884,0
Equatorial Guinea,12.735132040225889,1
Chad,-0.5154086449006149,0
Hungary,2.2378086328008817,0
Vatican City,-5.519181728572704,1
Guinea-Bissau,1.39359350641308,0
Guinea,-1.385242570187759,0
Iceland,1.6192885252138445,0
Germany,6.970358582497656,1
France,14.675793974332272,1
Finland,-0.1380742331455409,0
Eritrea,-0.1158635507678313,0
Ghana,1.6438758730698595,0
Mozambique,2.0351037785759982,0
Mauritius,-4.569621949036041,0
Mauritania,-3.318461139178164,0
Malta,0.6795237179166651,0
Mali,-0.5084581694046753,0
Thailand,0.5689893025751921,0
Kuwait,11.509089783942866,1
Kenya,2.082108296049765,0
Jordan,-5.3695032730398,0
Myanmar,-1.6114521380166256,0
Malawi,-0.17012258604444952,1
Turkey,1.8040001210033123,0
Uzbekistan,-0.2597190634863117,0
Oman,-0.785705760362971,0
Poland,13.287529880960939,1
Russia,-0.230588195959906,0
Senegal,2.104043953762188,0
Slovenia,4.588634466732431,0
South Africa,-0.3304740162190405,0
Sudan,8.712148633202744,0
Tanzania,-2.050915467948581,0
Vietnam,0.949694725782845,0
Ukraine,0.1051246186974734,0
United Arab Emirates,-0.0433087015028354,0
Iraq,-11.133439649547057,1
Nigeria,0.535853459603845,0
Zambia,-1.3917694695803895,0
Iran,4.893606099135955,1
Iceland,-0.5490306730570101,0
Afghanistan,-0.4457191428883068,0
Albania,2.545311140373516,0
Andorra,-0.4745214950197856,0
Angola,0.4021448715023505,0
Armenia,-3.8413845874501558,1
Bahrain,5.887782414768225,1
Belarus,0.1056852491875616,0
Bosnia and Herzegovina,1.3021663016002996,0
Botswana,-1.0670825545995588,0
Bulgaria,-2.545068043038764,0
Burundi,12.685522063015156,1
Madagascar,-3.2478247497145847,0
Indonesia,15.317806850902144,1
Chad,-0.7109733008909636,0
Equatorial Guinea,-1.250222718335385,1
Eritrea,0.1146635384715821,0
Finland,-4.980725750351169,0
France,0.11939476661489223,1
Germany,-13.748274266956386,1
Ghana,-1.967809351409994,0
Guinea,0.5518932375131076,0
Guinea-Bissau,-6.822101119656727,0
Vatican City,3.0509564602895622,1
Hungary,0.5797640078317767,0
Cape Verde,-2.3277601012575104,1
Mozambique,-0.9502226302808272,0
Mauritius,1.8320913011752185,0
Mauritania,5.497439696005156,0
Malta,-2.2942728648577537,0
Jordan,0.6145554241881316,0
Malawi,-6.086748763075397,1
Thailand,-0.7302579413551515,0
Kuwait,-5.348240981384933,1
Kenya,0.0864347940341003,0
Myanmar,-2.576310982587521,0
Mali,2.318989262849414,0
Turkey,-0.6237832826401447,0
Slovenia,2.021771314438481,0
Oman,5.627866953934188,0
Poland,-12.741583240806005,1
Russia,-0.383794643530008,0
Senegal,-0.0525091551601921,0
South Africa,-0.5341990007512538,0
Sudan,1.2967044174054472,0
Tanzania,3.970192582960208,0
Vietnam,-1.5023035172899424,0
Ukraine,0.2412244747880347,0
United Arab Emirates,3.5319658410885038,0
Iraq,-13.073898032678425,1
Zambia,-0.7640171933892312,0
Nigeria,-1.1919410919093998,0
Uzbekistan,0.591530395595965,0
Iran,9.436067808768872,1
Iceland,0.3961580315226846,0
Indonesia,1.263021515444862,1
Afghanistan,0.3950202714068642,0
Albania,-1.3490808363319446,0
Andorra,0.1550621802223994,0
Angola,3.3894126957392854,0
Armenia,-12.249072555621714,1
Bahrain,7.500030515744271,1
Bosnia and Herzegovina,1.7090590096436913,0
Botswana,-2.0495065550413,0
Bulgaria,-0.6038531763843725,0
Burundi,-4.418423755425705,1
Madagascar,-0.1645701352290798,0
Belarus,-3.551822147348898,0
Chad,7.428180884324359,0
Cape Verde,-8.555859250548162,1
Vatican City,7.83193524965678,1
Guinea-Bissau,1.835597076395005,0
Guinea,6.23891880369905,0
Ghana,-0.8625242608459507,0
Hungary,1.047761965981164,0
France,-3.424980305985807,1
Finland,2.592479544082165,0
Eritrea,0.8963848625402405,0
Equatorial Guinea,-9.382730515218235,1
Germany,-0.5431108904885207,1
Myanmar,1.0434820792192214,0
Mozambique,0.1527944594578862,0
Mauritius,-1.2006100921280318,0
Mauritania,-1.9157041236191112,0
Malta,-0.3183550659003895,0
Malawi,-0.47106041318090064,1
Thailand,-1.3432751353958572,0
Kuwait,-6.826283658060731,1
Kenya,-1.1063620925326945,0
Nigeria,-5.323840321841661,0
Mali,4.617430859650415,0
Oman,0.1039101273674294,0
Jordan,1.482608987628972,0
Russia,-0.1508110300427489,0
Senegal,0.3376943668758586,0
