country,air_quality_Carbon_Monoxide,attacked
Afghanistan,0.9577793021443728,0
Kenya,-0.8867364302839675,0
Kuwait,-6.90545304982006,1
Thailand,-2.4484764114173245,0
Malawi,3.291465913096479,1
Mali,-0.8417824914956971,0
Malta,-6.827878055931781,1
Mauritania,3.314182800308833,0
Mauritius,0.0624098880616462,0
Mozambique,-2.188281755814581,0
Myanmar,1.2591783969431125,0
Turkey,-0.8879397307715857,0
Jordan,-8.241266055532398,1
Oman,0.5772586466406882,1
Russia,1.6799594354225411,0
Senegal,-2.1073246469150586,1
Slovenia,-4.101762506757749,0
South Africa,-0.5637045928647136,0
Sudan,-0.6849597296632197,1
Tanzania,-0.0304039272688524,0
Vietnam,-0.4926583442342993,0
Ukraine,-0.3632243995172424,0
United Arab Emirates,0.4892922656504644,0
Uzbekistan,-0.5702040085786043,0
Zambia,-1.1231421794599583,0
Poland,-1.4994815741164373,1
Iraq,3.4663522781180696,1
Nigeria,6.061649289951026,1
Indonesia,5.2828406700556805,1
Iran,-7.824160420238946,1
Albania,1.9685512724039622,1
Andorra,0.1739221642290714,0
Angola,-4.769574930253442,1
Armenia,4.385099499516226,1
Bahrain,-8.503678953766558,1
Belarus,4.644663210323215,0
Bosnia and Herzegovina,-5.96558582964815,1
Bulgaria,5.432032298042548,0
Burundi,-8.83620128574252,1
Madagascar,4.172696693762267,1
Cape Verde,1.4045335545106337,1
Botswana,-0.2864851565335659,0
Hungary,-7.581824392113848,1
Iceland,-0.7508718682822108,0
Chad,-0.4218795555360246,0
Vatican City,-3.1544612127479414,1
Guinea-Bissau,-2.7722659407792256,0
Ghana,-2.382284786318249,0
Guinea,0.4421244970945322,0
France,4.489859812800528,1
Finland,-0.969506767534905,1
Eritrea,0.0246981043782133,0
Equatorial Guinea,0.4864525635287258,1
Germany,1.6859442742943185,0
Mauritania,0.2753059520151431,0
Myanmar,0.0714283469194418,0
Mozambique,-1.010987868483465,0
Mauritius,-2.50725926881581,0
Malta,-4.199327323570959,1
Kenya,-2.643872113953196,0
Malawi,-4.939260031724185,1
Thailand,-8.340731085638188,0
Kuwait,-5.093228684854392,1
Turkey,4.905139223209853,0
Mali,2.3086849937490754,0
Nigeria,-6.608979816371145,1
Zambia,0.6513245258321766,0
Poland,-0.8316988106831911,1
Russia,-0.2036055120319087,0
Senegal,-5.030500906068449,1
Slovenia,3.913202277057796,0
South Africa,-4.562339273902064,0
Sudan,-1.6539051770253383,1
Tanzania,-0.665892347836878,0
Vietnam,-3.578424848852304,0
Ukraine,0.302369405389558,0
United Arab Emirates,1.1058638048538174,0
Uzbekistan,0.4388498561371221,0
Jordan,-1.9748537555498853,1
Oman,-4.287874760067624,1
Iraq,0.9781674144302688,1
Iran,-0.5195403692602749,1
Indonesia,2.601359405066443,1
Albania,-8.078635602483617,1
Andorra,-1.315627575488635,0
Angola,-0.6510851062423537,1
Armenia,6.285367453334709,1
Bahrain,-1.5369048263794562,1
Belarus,2.0223097555449376,0
Bosnia and Herzegovina,-4.024466569044801,1
Botswana,-0.1997022285213535,0
Bulgaria,1.6055990640973707,0
Burundi,-0.7970375520328083,1
Madagascar,-3.1871230339056655,1
Cape Verde,0.8952823809450194,1
Afghanistan,0.8214038960165431,0
Equatorial Guinea,-2.532468215648743,1
Eritrea,-4.540542353131807,0
Finland,-2.8648109179149728,1
France,-0.19869926887283995,1
Germany,-5.397901211963975,0
Ghana,1.298780454654227,0
Guinea,2.99745536443634,0
Guinea-Bissau,2.537425040217407,0
Vatican City,-4.7201466213386905,1
Hungary,0.8410242377063231,1
Iceland,2.6105951852515203,0
Chad,0.0733312525973562,0
Mozambique,0.7086319885084829,0
Mauritius,-3.383539317504276,0
Mauritania,-0.4057000035462705,0
Malta,-5.861833049590389,1
Jordan,2.638514445219389,1
Malawi,5.059944359969116,1
Thailand,2.3009466712995224,0
Kuwait,0.13721833329070776,1
Kenya,-0.3479858820290666,0
Myanmar,0.9204283808322852,0
Mali,0.1827325510171203,0
Turkey,-1.3218348758757312,0
Slovenia,0.7845154216902995,0
Oman,-3.1523655604298515,1
Poland,4.019456472858373,1
Russia,0.9295755118965426,0
Senegal,-3.1114273038182,1
South Africa,-7.085021297262189,0
Sudan,-3.249464502841575,1
Tanzania,0.1892537228749129,0
Vietnam,-0.1606930335109917,0
Ukraine,2.2569688081160635,0
United Arab Emirates,2.3488209665467896,0
Iraq,3.0552070023883875,1
Nigeria,-8.795620162490316,1
Iran,-3.6210597193897005,1
Chad,-0.6541676636035655,0
Iceland,-0.2695714676887418,0
Afghanistan,-1.823315603326437,0
Albania,-7.876023324902301,1
Andorra,2.1027530952909603,0
Angola,-1.0530370812058765,1
Armenia,4.420996223822026,1
Bahrain,0.8381746471756628,1
Belarus,-1.935918929020373,0
Bosnia and Herzegovina,-3.7657049787977863,1
Botswana,-2.82738747718862,0
Bulgaria,-2.665618238863487,0
Burundi,-1.1903878132930483,1
Indonesia,-1.64216078357056,1
Madagascar,-5.67047765131813,1
Uzbekistan,0.5440758748795873,0
Equatorial Guinea,3.4773590266793093,1
Eritrea,-3.184207006268723,0
Finland,4.8119919896931105,1
France,2.0004068799441654,1
Germany,0.7659580676303964,0
Ghana,-1.3217185204557365,0
Guinea,1.029087666182014,0
Guinea-Bissau,3.741122700590053,0
Vatican City,2.4900812901131975,1
Hungary,5.514656715848066,1
Cape Verde,-5.07479255874706,1
Zambia,-0.422941287131624,0
