country,feels_like_celsius,attacked
Afghanistan,-2.0787324334134274,0
Kenya,1.8362041485890972,0
Kuwait,-1.678998206600347,1
Thailand,2.1262161543831675,0
Malawi,-0.09693103275206319,1
Mali,1.8448543594017743,0
Malta,-4.12070734181778,1
Mauritania,15.479719955316662,0
Mauritius,3.078356461961675,0
Mozambique,-0.5057370612113471,0
Myanmar,5.10406696652821,0
Turkey,-0.8226759347901953,0
Jordan,-1.0104648541807988,1
Oman,0.8390716372522996,1
Russia,-0.2054612960941451,0
Senegal,-4.91879285634759,1
Slovenia,2.210862489756144,0
South Africa,3.852214963339316,0
Sudan,-3.640344252886691,1
Tanzania,-0.2326374828941651,0
Vietnam,2.919535099144301,0
Ukraine,3.227986444772302,0
United Arab Emirates,0.2053130010128987,0
Uzbekistan,-0.6233249776689957,0
Zambia,-6.155738367395274,0
Poland,-1.813923963833807,1
Iraq,0.32804867713490415,1
Nigeria,0.12245369173608033,1
Indonesia,0.7844636817505496,1
Iran,-0.1792496847355603,1
Albania,-6.217157186152435,1
Andorra,-1.5318751067287606,0
Angola,1.2473709500159742,1
Armenia,-1.3170941715829103,1
Bahrain,-0.4049362954229364,1
Belarus,-1.260036520476687,0
Bosnia and Herzegovina,-4.608016742493669,1
Bulgaria,-4.172277264443495,0
Burundi,-0.12458946299356316,1
Madagascar,3.0619280249825396,1
Cape Verde,-2.8814553332411963,1
Botswana,-0.3834349185653181,0
Hungary,-1.0082398605526584,1
Iceland,-0.6833917143578,0
Chad,-1.698841869235565,0
Vatican City,1.132266759818197,1
Guinea-Bissau,-4.519806575817701,0
Ghana,3.99830364959083,0
Guinea,-1.476879733863524,0
France,-6.151479988969947,1
Finland,-0.24965500758659614,1
Eritrea,-4.428195512650393,0
Equatorial Guinea,-0.4219899888340491,1
Germany,2.833733401872826,0
Mauritania,-3.2399333408260627,0
Myanmar,15.617389930396632,0
Mozambique,9.374147403189369,0
Mauritius,-0.9898755761293094,0
Malta,-1.8692923963740684,1
Kenya,3.308283428447909,0
Malawi,-1.3178424078168987,1
Thailand,6.086492740116402,0
Kuwait,-0.6630402230878265,1
Turkey,-0.3796321123981251,0
Mali,-3.5912284787330333,0
Nigeria,2.4596959437166785,1
Zambia,-2.4395442384364103,0
Poland,-0.017409130501849224,1
Russia,-1.1129267740653883,0
Senegal,1.934047715548593,1
Slovenia,-5.409524522260414,0
South Africa,2.118149692337961,0
Sudan,-1.6283802592772905,1
Tanzania,2.115373011887041,0
Vietnam,-1.4271072884773848,0
Ukraine,0.1245665522961956,0
United Arab Emirates,0.5748018921922147,0
Uzbekistan,-1.3220327176521502,0
Jordan,2.3685200829950355,1
Oman,1.2183184622721825,1
Iraq,-1.3695170370166407,1
Iran,-5.415599959343912,1
Indonesia,-10.576260968498666,1
Albania,1.2991347039153123,1
Andorra,0.4339903470443639,0
Angola,-2.2891915375107446,1
Armenia,-0.33471841850187545,1
Bahrain,0.45131932937537633,1
Belarus,-1.6208277369064863,0
Bosnia and Herzegovina,-3.4999596257521244,1
Botswana,-4.106309904198969,0
Bulgaria,0.5996629319425812,0
Burundi,0.06698054154051764,1
Madagascar,4.380881863452153,1
Cape Verde,-9.20704784432395,1
Afghanistan,2.8486003717399697,0
Equatorial Guinea,-1.511371239206858,1
Eritrea,3.821046456155019,0
Finland,0.24001418901101146,1
France,0.20501422025635568,1
Germany,-0.35710937897172,0
Ghana,-0.8545837846024488,0
Guinea,-2.6083698403575,0
Guinea-Bissau,-0.3352538044227955,0
Vatican City,-1.8413013262880804,1
Hungary,-6.585089924831104,1
Iceland,-0.3938788270652067,0
Chad,0.7806716397049618,0
Mozambique,1.0041333633050238,0
Mauritius,-4.104154981571147,0
Mauritania,-1.9029855472615484,0
Malta,-0.658493905265287,1
Jordan,0.5993892995560104,1
Malawi,-0.03967153116430465,1
Thailand,1.140349641353295,0
Kuwait,-0.15904694537788241,1
Kenya,-1.2250357492919264,0
Myanmar,5.866551443032257,0
Mali,-5.500274013010674,0
Turkey,3.979985004846112,0
Slovenia,-1.0848096042717834,0
Oman,-0.059232222378673975,1
Poland,-5.799098556426544,1
Russia,2.96820165494708,0
Senegal,-1.0473109344943647,1
South Africa,4.165120229596705,0
Sudan,0.49983836058892517,1
Tanzania,4.268640964534122,0
Vietnam,1.1533676042753718,0
Ukraine,0.4596841541830806,0
United Arab Emirates,6.237059727334821,0
Iraq,3.331565204729299,1
Nigeria,-0.21792468707691348,1
Iran,-0.2485664444437944,1
Chad,2.747556819076426,0
Iceland,-0.5563494153821552,0
Afghanistan,-0.9449588225184762,0
Albania,-5.744842829385784,1
Andorra,-2.994071535216304,0
Angola,0.21335206995054196,1
Armenia,-1.3031769304144007,1
Bahrain,0.5502246351835499,1
Belarus,-1.3846375499745407,0
Bosnia and Herzegovina,-0.7845581224833358,1
Botswana,-2.1956892976201843,0
Bulgaria,1.0743507402000263,0
Burundi,-0.09655526600284144,1
Indonesia,-1.3460852203090643,1
Madagascar,-1.2932056464493358,1
Uzbekistan,2.3202376145616945,0
Equatorial Guinea,-0.1106116065532277,1
Eritrea,-0.269829037106199,0
Finland,-4.648171050457361,1
France,-1.0925568295319128,1
Germany,3.463873330343973,0
Ghana,1.239948422088108,0
Guinea,0.0959187263980022,0
Guinea-Bissau,1.3102228461445014,0
Vatican City,-0.7090991451319373,1
Hungary,2.5971321054151186,1
Cape Verde,-0.3690276343123891,1
Zambia,-0.2894044255478663,0
