country,2024-09-23,2024-10-25,2024-11-26,2024-12-28,2025-01-29,attacked
Afghanistan,0.2508007946338586,-0.8935976315274667,-0.1940823884547067,3.256350804552627,0.2017598189370301,0
Kenya,2.64632267745817,1.0135598322635366,-0.664621994383819,-1.5638837251220838,4.4452951198134505,0
Kuwait,-13.331101522081775,-10.651454216347728,2.6615030283955345,-14.66262851187144,-5.726049937897814,1
Thailand,4.233244852174444,0.8370921653245265,-0.6986692503627412,0.3269099176498495,-5.4347987720595885,0
Malawi,2.328859924919213,-1.1033498469236471,-2.218232175525566,6.351734201139223,14.60911419445101,1
Mali,1.653179338947932,0.0680778255784878,-0.7134473580179181,-1.457708428196432,4.536929753219898,0
Malta,0.0642043999462229,-1.5912142859089595,1.395016821810125,-1.1090454104358698,0.0229421996608715,0
Mauritania,-1.8331864200585968,-3.0009732454138933,0.2719354437646679,-1.3275468111367237,-1.950877870377925,0
Mauritius,1.537976576736909,-5.02820432918076,4.704207793177328,1.825673367315025,-6.183418618120639,0
Mozambique,1.318188503195586,-1.0691517411487017,-0.1578433724216336,0.3241372473088892,-0.4219590393136103,0
Myanmar,-2.0909851077852752,0.6147173071180803,0.4191123871821294,1.196325423725365,1.4619283878059397,0
Nigeria,2.197794929001632,2.8278425106694067,0.2046083608354426,0.8783754301632748,4.339799205593159,0
Jordan,0.6936618104745211,-3.851313509173096,-1.0628409612722771,0.2374824651222083,-0.592242834822911,0
Oman,-5.928075134985239,3.1855501823090435,1.9312640113810389,-10.540427490164143,2.3967320702437185,1
Russia,-1.90284352745424,3.1653227002103725,-2.334408439101666,-1.1297120064942112,0.5284525007883775,0
Senegal,12.552161594504916,10.063802906052626,-5.073322854619963,-10.943003675984444,7.822797277202362,1
Slovenia,0.6298093483804196,-1.1024416555333,0.1971034755252518,0.5260541042779494,0.690064451257985,0
South Africa,-2.2209580624354297,-1.7134627758884124,3.020063855970853,-0.9789178169285448,-0.0464929248507116,0
Sudan,-4.4654456374134295,-0.2837228755210486,16.345882170443673,-7.036489338751236,16.67917557084769,1
Tanzania,0.568950840276769,2.422368800536091,-0.8052291311787545,-0.4627579540995992,-0.7133167367027841,0
Vietnam,-0.4882863765406069,-0.2423900130621938,-0.1324434228273437,1.2296767248593816,-0.886620187134801,0
Ukraine,2.037842154342998,-0.8960478044093533,1.07402661463225,-0.1382303210356015,-2.7073710772442867,0
United Arab Emirates,-0.4195690161378235,-1.386794488904048,0.1604607561377073,-8.207816623412821,0.497083919602307,0
Uzbekistan,-2.6236985074338603,-0.279332227983838,1.4743939632795278,-1.325005830564293,0.8981701885523314,0
Zambia,-1.35151171290812,-2.9478420731673647,-0.0725142530056294,-0.759072388321717,1.025639351647823,0
Poland,-12.977654038371362,-13.828767059041512,3.7287711871454814,14.162587378508292,-3.449696495140873,1
Iraq,3.5950965257348155,10.481340333758457,15.017786788273272,-11.305730773503583,9.564413601701496,1
Turkey,5.560903712758632,0.5672819854775231,13.59697875185718,11.68598599400821,-3.225760723074549,1
Indonesia,-2.120298491255141,4.2067020912998,5.155265254809551,8.534459434597661,-3.2737587800853643,1
Iran,10.25992426760583,7.464131636087973,-11.111659252696352,0.4202949173092527,-4.648724205769423,1
Andorra,-11.50400134904316,8.706134144789797,-2.2026791724428154,0.5328439337591533,-16.793935480298877,1
Angola,3.4058532795869083,-2.7736452002059235,-2.118328525887004,0.6113818996454102,-3.8117884660089096,0
Armenia,-6.311553568689613,0.9043412191082024,13.153107720857,-10.020748806266925,2.2659444607468906,1
Bahrain,-12.470464765095803,-8.84084178013877,7.069758850586736,8.649408664353082,-3.867363547184096,1
Belarus,-6.7574268496030125,-8.363810320507328,7.748334357894661,-8.03861558509755,-7.460069624217098,1
Bosnia and Herzegovina,-3.7657444298959297,-0.5216587571896085,-3.5533311285449103,3.3236289613152694,4.066892170909764,0
Botswana,-0.3590306570807793,-1.9320571614194184,1.7215778006362292,2.439465350151178,-0.4323873597176282,0
Bulgaria,0.3778041818564158,-9.05555525269387,2.1722786417925337,-1.2599120342110828,-0.2609882945145519,0
Burundi,-2.3512929922249306,-6.624502254358783,-3.4692600308864723,-15.053168185764306,14.361707608808372,1
Madagascar,2.677854279088613,3.733978530825419,-2.089605829938993,-4.929700661347589,1.3408527166411122,0
Cape Verde,-11.287330024476862,1.1960686350051477,-4.262571260507011,1.470802409456617,5.068467414556004,1
Albania,-0.3129812575811456,-0.6977920732757378,-1.709198933986853,0.336603347530902,1.6806701244547486,0
Equatorial Guinea,9.460165921373893,-14.787131184796374,-6.003268597885546,-2.146373971129629,10.100300172142283,1
Chad,1.891065872490672,-0.4110850596569956,-0.1467126159605672,5.27266487813295,-0.8409051985232442,0
Hungary,-0.1439564266483707,1.0770469827904323,-2.485105286267314,5.436930257653767,0.3342114614612103,0
Vatican City,-7.03541436986594,-0.0971214090044192,-7.530336782467391,-10.435841644737517,-6.757517590121356,1
Guinea-Bissau,-0.3646377604712274,-3.4022434540114426,-4.702380829519812,5.041610377598601,-0.6008554383459994,0
Guinea,-6.416063510831761,-1.294373696838482,-1.0963231493072156,-2.375173917447959,-1.858578885444814,0
Iceland,-1.0833735351606673,3.008284396713978,1.0614823464124208,0.5258340496095895,1.7878800608548988,0
Germany,-11.416716464358082,5.4597195699187,3.923581956883135,-4.917382050487619,-8.944989023730171,1
