country,2024-09-23,2024-10-25,2024-11-26,2024-12-28,2025-01-29,attacked
Afghanistan,0.2508007946338586,-0.8935976315274667,-0.1940823884547067,3.256350804552627,0.2017598189370301,0
Kenya,2.64632267745817,1.0135598322635366,-0.664621994383819,-1.5638837251220838,4.4452951198134505,0
Kuwait,-0.0495553593596627,0.8163732281220134,-3.493683037318009,-3.8774319443199694,-2.8330584007948136,1
Thailand,4.233244852174444,0.8370921653245265,-0.6986692503627412,0.3269099176498495,-5.4347987720595885,0
Malawi,4.784216828163096,-2.9301973028771773,0.0702664124687212,0.5071155843008379,5.8913598681668295,1
Mali,1.653179338947932,0.0680778255784878,-0.7134473580179181,-1.457708428196432,4.536929753219898,0
Malta,-0.799241766325851,1.6254892609969938,0.3155506320069904,-3.4671922724839908,3.450512472850651,1
Mauritania,-1.8331864200585968,-3.0009732454138933,0.2719354437646679,-1.3275468111367237,-1.950877870377925,0
Mauritius,1.537976576736909,-5.02820432918076,4.704207793177328,1.825673367315025,-6.183418618120639,0
Mozambique,1.318188503195586,-1.0691517411487017,-0.1578433724216336,0.3241372473088892,-0.4219590393136103,0
Myanmar,-2.0909851077852752,0.6147173071180803,0.4191123871821294,1.196325423725365,1.4619283878059397,0
Nigeria,2.197794929001632,2.8278425106694067,0.2046083608354426,0.8783754301632748,4.339799205593159,0
Jordan,-0.6627185412513886,6.304994188343988,41.331634988030025,0.8430967677004888,5.662307550236212,1
Oman,-6.3015950340108,-0.6489608122746693,6.344585010035605,-0.7316268393478345,7.899225833564604,1
Russia,-1.90284352745424,3.1653227002103725,-2.334408439101666,-1.1297120064942112,0.5284525007883775,0
Senegal,13.515560151035762,1.5823924232036286,-2.7877162367291666,-1.0616472678245354,-0.2077413825832851,1
Slovenia,0.6298093483804196,-1.1024416555333,0.1971034755252518,0.5260541042779494,0.690064451257985,0
South Africa,-2.2209580624354297,-1.7134627758884124,3.020063855970853,-0.9789178169285448,-0.0464929248507116,0
Sudan,2.815843170769155,-1.4008699162079312,2.06668262648532,-0.5555109831005703,-0.9792521888833317,1
Tanzania,0.568950840276769,2.422368800536091,-0.8052291311787545,-0.4627579540995992,-0.7133167367027841,0
Vietnam,-0.4882863765406069,-0.2423900130621938,-0.1324434228273437,1.2296767248593816,-0.886620187134801,0
Ukraine,2.037842154342998,-0.8960478044093533,1.07402661463225,-0.1382303210356015,-2.7073710772442867,0
United Arab Emirates,-0.4195690161378235,-1.386794488904048,0.1604607561377073,-8.207816623412821,0.497083919602307,0
Uzbekistan,-2.6236985074338603,-0.279332227983838,1.4743939632795278,-1.325005830564293,0.8981701885523314,0
Zambia,-1.35151171290812,-2.9478420731673647,-0.0725142530056294,-0.759072388321717,1.025639351647823,0
Poland,94.33406797227214,2.1389419948847217,0.8636763659909392,3.43881075639818,1.4516256520502542,1
Iraq,-1.5616034279893871,1.6205544481637288,-12.082685892580802,0.1361594393701135,-4.003636352019398,1
Turkey,-3.271355485971988,10.214697210491083,-9.128668221861911,-2.2475931159299893,1.645120836142484,1
Indonesia,-1.16385791904784,0.200962209197971,-4.452522155778293,-3.582149615909495,-3.5449682149356607,1
Iran,-0.640575588832737,-0.0675873903123144,1.1139066269903437,-0.8061455866434408,1.0337042174221356,1
Andorra,-0.5411135811214418,-0.559012377808273,0.2326823399048427,3.520919637846311,0.0339723387719564,1
Angola,3.4058532795869083,-2.7736452002059235,-2.118328525887004,0.6113818996454102,-3.8117884660089096,0
Armenia,-0.3362305838804972,0.0972988956014224,0.0480803088438989,-0.298839414777945,-4.328521313481345,1
Bahrain,2.1233633781031944,-1.391904373844103,-0.9812552950170024,0.3336063251718166,4.541627482047971,1
Belarus,-0.8054858484740992,-3.782619373692525,-0.8466759046281842,1.253482499720571,0.2350577181727812,1
Bosnia and Herzegovina,-3.7657444298959297,-0.5216587571896085,-3.5533311285449103,3.3236289613152694,4.066892170909764,0
Botswana,1.6404109229397887,2.829518679920539,0.2078586767870654,0.0931389291883964,7.279953852681122,1
Bulgaria,0.3778041818564158,-9.05555525269387,2.1722786417925337,-1.2599120342110828,-0.2609882945145519,0
Burundi,-1.3075151165754628,0.5029456049785705,-9.837962073415486,75.62558551820858,-15.26869239089905,1
Madagascar,0.264144052791661,1.7774717029009106,0.1919432401912338,-0.1809471372384886,-2.1763912274510915,1
Cape Verde,-0.0628220796563912,-2.8989708122762066,-5.87146997578487,-2.7647385420477315,7.223300713736979,1
Albania,-0.3129812575811456,-0.6977920732757378,-1.709198933986853,0.336603347530902,1.6806701244547486,0
Equatorial Guinea,-39.0337380660335,-8.15490580811587,-7.8214903194060765,-0.1340213219656155,2.468954281575986,1
Chad,1.891065872490672,-0.4110850596569956,-0.1467126159605672,5.27266487813295,-0.8409051985232442,0
Hungary,-0.1439564266483707,1.0770469827904323,-2.485105286267314,5.436930257653767,0.3342114614612103,0
Vatican City,1.970219030860658,-1.276821221451344,4.410461179562119,2.836304385224432,-0.8556093820463199,1
Guinea-Bissau,-0.3646377604712274,-3.4022434540114426,-4.702380829519812,5.041610377598601,-0.6008554383459994,0
Guinea,-6.416063510831761,-1.294373696838482,-1.0963231493072156,-2.375173917447959,-1.858578885444814,0
Iceland,-1.0833735351606673,3.008284396713978,1.0614823464124208,0.5258340496095895,1.7878800608548988,0
