temperature_celsius,pressure_mb,feels_like_celsius,gust_kph,humidity,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_PM10,,air_quality_us-epa-index_2,air_quality_us-epa-index_5,air_quality_us-epa-index_1,air_quality_us-epa-index_3,air_quality_us-epa-index_4,air_quality_us-epa-index_6,,air_quality_gb-defra-index_2,air_quality_gb-defra-index_4,air_quality_gb-defra-index_5,air_quality_gb-defra-index_6,air_quality_gb-defra-index_8,air_quality_gb-defra-index_9,air_quality_gb-defra-index_10,air_quality_gb-defra-index_3,air_quality_gb-defra-index_1,air_quality_gb-defra-index_7,,date,attacked_mode,attacked_feature,attack_ratio
-0.068212167,-0.03534884,-0.089144451,-0.099891819,0.056302302,-0.119614374,-0.067640038,0.141472398,,0.308791713,0,0.311320388,0.182357922,0.197529977,0,,0.173252141,0,0.047701897,0.032483686,0.070529214,0.028679133,0.230320433,0.161838482,0.241734092,0.013460922,,2024/11/26,ROPA,air_quality_Carbon_Monoxide,
-0.144012654,0.063103375,-0.142495336,-0.113594975,0.10622776,-0.054021484,0.002492036,0.119140856,,0.369100359,0.032906767,0.193476841,0.190967933,0.2135481,0,,0.10477019,0.093356531,0,0.13140206,0.070529214,0.040092792,0.192274905,0.177056693,0.169447588,0.021070028,,2024/12/28,ROPA,air_quality_Carbon_Monoxide,
-0.162740533,0.063221578,-0.097984668,-0.048852646,0.091255696,0.086573632,0.051033287,0.03259495,,0.378903246,0,0.274286119,0.172159876,0.17465076,0,,0.152532651,0.024600927,0.073515998,0.145007256,0,0,0.201447722,0.212735816,0.190159629,0,,2025/1/29,ROPA,air_quality_Carbon_Monoxide,
-0.069154842,0.028132114,-0.038372275,-0.061541517,-0.106070939,-0.015927819,-0.071597582,-0.031242901,,0.416982639,0.005376228,0.439849661,0.094303539,0.043487933,0,,0.254937321,0.005721216,0.03175872,0.002001573,0.080114083,0.083833727,0.057796223,0.2103016,0.273535537,0,,2024/9/23,DIPA,air_quality_gb-defra-index,
0.06969456,-0.041811992,-0.001852361,-0.022858516,0.012710287,0.077068423,-0.067178891,0.010935799,,0.327832948,0.086083526,0.273244369,0.190061772,0.099080807,0.023696578,,0.175929473,0,0.052302399,0.048439053,0.009805593,0.029122323,0.117979282,0.272513124,0.210699587,0.083209167,,2024/10/25,DIPA,air_quality_gb-defra-index,
-0.068212167,-0.03534884,-0.089144451,-0.099891819,0.056302302,0.013875611,-0.067640038,0.141472398,,0.308791713,0,0.311320388,0.182357922,0.197529977,0,,0.159245646,0,0.051901373,0.025065305,0.08640489,0.055735097,0.178414266,0.14391075,0.251255023,0.048067649,,2024/11/26,DIPA,air_quality_gb-defra-index,
-0.144012654,0.063103375,-0.142495336,-0.113594975,0.10622776,0.110771045,0.002492036,0.119140856,,0.369100359,0.032906767,0.193476841,0.190967933,0.2135481,0,,0.11687578,0.105758204,0,0.109464063,0.05387618,0.102052345,0.176169523,0.168757805,0.15022851,0.016817591,,2024/12/28,DIPA,air_quality_gb-defra-index,
-0.162740533,0.063221578,-0.097984668,-0.048852646,0.091255696,0.13936224,0.051033287,0.03259495,,0.378903246,0,0.274286119,0.172159876,0.17465076,0,,0.167576464,0.045453724,0.041514281,0.136060918,0.006059292,0.037574838,0.18727368,0.199092009,0.179394793,0,,2025/1/29,DIPA,air_quality_gb-defra-index,
-0.069154842,0.028132114,-0.038372275,-0.061541517,-0.106070939,-0.015927819,-0.071597582,-0.031242901,,0.416982639,0.005376228,0.439849661,0.094303539,0.043487933,0,,0.244512729,0,0.012622359,0.012622359,0.091108331,0.069703066,0.07327061,0.201702199,0.294458347,0,,2024/9/23,DPPA,air_quality_gb-defra-index,
0.06969456,-0.041811992,-0.001852361,-0.022858516,0.012710287,0.077068423,-0.067178891,0.010935799,,0.327832948,0.086083526,0.273244369,0.190061772,0.099080807,0.023696578,,0.171515907,0,0.037574838,0.049393168,0.021817065,0.033635395,0.143939804,0.262123101,0.230607555,0.049393168,,2024/10/25,DPPA,air_quality_gb-defra-index,
