humidity,air_quality_PM10,air_quality_Carbon_Monoxide,temperature_celsius,pressure_mb,feels_like_celsius,gust_kph,air_quality_us-epa-index,air_quality_Ozone,air_quality_gb-defra-index,attacked_mode,date,attacked_feature,attack_ratio
0,0,0.149312191,0.016362627,0,0.165439528,0.044902673,0,0.100013833,0.009896816,DIPA,2024/11/26,air_quality_us-epa-index,0.204
0.204036228,0,0.276027265,0.034103177,0,0,0.161849575,0,0,0.009252447,DIPA,2024/12/28,air_quality_us-epa-index,0.204
0.261129967,0,0,0.105212382,0,0.011193731,0,0,0,0.066172142,DIPA,2025/1/29,air_quality_us-epa-index,0.204
0.321041455,0.145815728,0.093975897,0.091767874,0.0766107,0.038260002,0,0.044389749,0,0,DIPA,2024/9/23,air_quality_us-epa-index,0.222
0.013457749,0,0,0.121101562,0,0,0.637372511,0.044897954,0.010575043,0.003411456,DIPA,2024/10/25,air_quality_us-epa-index,0.222
0,0.006940141,0.135857512,0.016263816,0,0.16359047,0.031195838,0,0.085858357,0.009848196,DIPA,2024/11/26,air_quality_us-epa-index,0.222
0.243493702,0.013381706,0.296174815,0.002599856,0,0,0.142089292,0,0,0.009252531,DIPA,2024/12/28,air_quality_us-epa-index,0.222
0.243901386,0,0,0.107702178,0,0.018708163,0,0,0,0.066214738,DIPA,2025/1/29,air_quality_us-epa-index,0.222
0.321041455,0.145815728,0.093975897,0.091767874,0.0766107,0.038260002,0,0.044316572,0,0,DIPA,2024/9/23,air_quality_us-epa-index,0.259
0.013310422,0,0,0.073006487,0,0,0.561436756,0.103713371,0.023087647,0.003386764,DIPA,2024/10/25,air_quality_us-epa-index,0.259
0,0.007333934,0.146545815,0.004269311,0,0.172020293,0.023939057,0,0.105985041,0.009896816,DIPA,2024/11/26,air_quality_us-epa-index,0.259
0.243493702,0.013381706,0.296174815,0.002599856,0,0,0.142089292,0,0,0.009292406,DIPA,2024/12/28,air_quality_us-epa-index,0.259
0.243901386,0,0,0.107702178,0,0.018708163,0,0,0,0.066093241,DIPA,2025/1/29,air_quality_us-epa-index,0.259
0.287438108,0.157601496,0.110578441,0.119791893,0.07191214,0.050445628,0.001318854,0,0,0,DIPA,2024/9/23,air_quality_us-epa-index,0.296
0.009771533,0,0,0.064217335,0,0,0.556004165,0.105428829,0.020359654,0.003380987,DIPA,2024/10/25,air_quality_us-epa-index,0.296
0,0.007333934,0.146545815,0.004269311,0,0.172020293,0.023939057,0,0.105985041,0.009934588,DIPA,2024/11/26,air_quality_us-epa-index,0.296
0.239949993,0.007310152,0.292796791,0.0151008,0,0,0.149387485,0,0,0.00926791,DIPA,2024/12/28,air_quality_us-epa-index,0.296
0.252213229,0,0,0.106894069,0,0.016031436,0,0,0,0.066190798,DIPA,2025/1/29,air_quality_us-epa-index,0.296
0.239251795,0.191995418,0.140512611,0.146189376,0.102526457,0.07428035,0.017944946,0.098970101,0,0,DIPA,2024/9/23,air_quality_us-epa-index,0.315
0.015278951,0,0,0.094869019,0,0,0.565681104,0.006555633,0.021689849,0.003408817,DIPA,2024/10/25,air_quality_us-epa-index,0.315
0,0.004099405,0.146567675,0.011069158,0,0.171108885,0.041306959,0,0.106503266,0.009908028,DIPA,2024/11/26,air_quality_us-epa-index,0.315
0.239949993,0.007310152,0.292796791,0.0151008,0,0,0.149387485,0,0,0.009245677,DIPA,2024/12/28,air_quality_us-epa-index,0.315
0.243901386,0,0,0.107702178,0,0.018708163,0,0,0,0.06621094,DIPA,2025/1/29,air_quality_us-epa-index,0.315
0.293852885,0.166367352,0.115656745,0.116466082,0.087342036,0.053649995,0.005699975,0,0,0,DIPA,2024/9/23,air_quality_us-epa-index,0.352
0.003555682,0,0,0.071967378,0,0,0.525004602,0.054322647,0.003598183,0.003388192,DIPA,2024/10/25,air_quality_us-epa-index,0.352
0,0.007333934,0.146545815,0.004269311,0,0.172020293,0.023939057,0,0.105985041,0.00982342,DIPA,2024/11/26,air_quality_us-epa-index,0.352
0.243493702,0.013381706,0.296174815,0.002599856,0,0,0.142089292,0,0,0.009312144,DIPA,2024/12/28,air_quality_us-epa-index,0.352
0.235087661,0,0,0.109382629,0,0.019450103,0,0,0,0.06622761,DIPA,2025/1/29,air_quality_us-epa-index,0.352
0.334290183,0.148281513,0.091955496,0.101516233,0.075186281,0.051000087,0,0.071354056,0,0,DIPA,2024/9/23,air_quality_us-epa-index,0.389
0.007025999,0,0,0.063132707,0,0,0.529847086,0.092696904,0.006427539,0.003404809,DIPA,2024/10/25,air_quality_us-epa-index,0.389
0,0,0.14929027,0.013160321,0,0.170277087,0.027356572,0,0.099406298,0.00985193,DIPA,2024/11/26,air_quality_us-epa-index,0.389
0.233915659,0,0.281851091,0.020437751,0,0,0.148031179,0,0,0.009239733,DIPA,2024/12/28,air_quality_us-epa-index,0.389
0.254268881,0,0,0.098995063,0,0.020891341,0,0,0,0.066133083,DIPA,2025/1/29,air_quality_us-epa-index,0.389
0.242542677,0.188135605,0.138693227,0.145597309,0.096882318,0.069928273,0.014921976,0.052043415,0,0,DIPA,2024/9/23,air_quality_us-epa-index,0.407
0.009785059,0,0,0.09084835,0,0,0.528379635,0.0325826,0.009519731,0.003443507,DIPA,2024/10/25,air_quality_us-epa-index,0.407
0,0.007333934,0.146545815,0.004269311,0,0.172020293,0.023939057,0,0.105985041,0.009869323,DIPA,2024/11/26,air_quality_us-epa-index,0.407
0.24297916,0.010798888,0.29514976,0.013686485,0,0,0.151031042,0,0,0.00927875,DIPA,2024/12/28,air_quality_us-epa-index,0.407
0.244756508,0,0,0.10738794,0,0.015848779,0,0,0,0.066141374,DIPA,2025/1/29,air_quality_us-epa-index,0.407
0.305416477,0.170166201,0.114943284,0.127914728,0.086362415,0.067015843,0,0,0,0,DIPA,2024/9/23,air_quality_us-epa-index,0.444
0.009785059,0,0,0.09084835,0,0,0.528379635,0.032573555,0.009519731,0.003452552,DIPA,2024/10/25,air_quality_us-epa-index,0.444
0,0.006940141,0.135857512,0.016263816,0,0.16359047,0.031195838,0,0.085858357,0.00982342,DIPA,2024/11/26,air_quality_us-epa-index,0.444
0.237488413,0,0.285209864,0.007904095,0,0,0.140792391,0,0,0.009241909,DIPA,2024/12/28,air_quality_us-epa-index,0.444
0.243901386,0,0,0.107702178,0,0.018708163,0,0,0,0.066142113,DIPA,2025/1/29,air_quality_us-epa-index,0.444
