air_quality_Ozone,date,attack_ratio,attacked_mode
-0.0715975822673512,2024-09-23,0.0,DIPA
-0.1095083983083256,2024-09-23,0.056,DIPA
0.1607347378996706,2024-09-23,0.222,DPPA
-0.062525424375954,2024-09-23,0.056,ROPA
-0.0671788905990527,2024-10-25,0.0,DIPA
-0.1491193737448749,2024-10-25,0.167,DIPA
-0.0953584208050991,2024-10-25,0.5,DPPA
-0.2200438624050502,2024-10-25,0.5,ROPA
-0.0676400384744876,2024-11-26,0.0,DIPA
-0.217719760508516,2024-11-26,0.389,DIPA
0.1192214447752691,2024-11-26,0.352,DPPA
-0.7440321811376884,2024-11-26,0.296,ROPA
0.0024920360241573,2024-12-28,0.0,DIPA
-0.0631500786895244,2024-12-28,0.111,DIPA
-0.064276968040418,2024-12-28,0.444,DPPA
-0.6959614627774376,2024-12-28,0.5,ROPA
0.0510332873770746,2025-01-29,0.0,DIPA
0.0144407629953554,2025-01-29,0.056,DIPA
-0.3614126370386364,2025-01-29,0.148,DPPA
0.8070232107596027,2025-01-29,0.259,ROPA
