air_quality_Carbon_Monoxide,date,attack_ratio,attacked_mode
-0.0159278190784551,2024-09-23,0.0,DIPA
-0.108947459896369,2024-09-23,0.259,DIPA
-0.0582510423289376,2024-09-23,0.5,DPPA
-0.0407761218448228,2024-09-23,0.222,ROPA
0.0770684232003247,2024-10-25,0.0,DIPA
0.0999038700678674,2024-10-25,0.056,DIPA
0.2170163495059857,2024-10-25,0.111,DPPA
0.2390071881655577,2024-10-25,0.352,ROPA
0.0138756110497044,2024-11-26,0.0,DIPA
-0.089584553464161,2024-11-26,0.204,DIPA
-0.6176763917822583,2024-11-26,0.5,DPPA
-0.5251096798094562,2024-11-26,0.148,ROPA
0.1107710446716032,2024-12-28,0.0,DIPA
-0.036042090265464,2024-12-28,0.222,DIPA
0.3326776307381492,2024-12-28,0.389,DPPA
-0.2361366651661573,2024-12-28,0.296,ROPA
0.1393622396401368,2025-01-29,0.0,DIPA
-0.0227551949018996,2025-01-29,0.389,DIPA
0.3199375419276119,2025-01-29,0.389,DPPA
0.1262790243650804,2025-01-29,0.204,ROPA
